,Height,Weight
0,187.5714232,109.7209851
1,174.7060363,73.62273185
2,188.2396677,96.49755015
3,182.1966851,99.80950419
4,177.4997615,93.59861876
5,170.8226598,69.04221615
6,174.7141064,83.42821885
7,173.6052294,76.19035195
8,170.2281321,79.80018673
9,161.1794947,70.94164201
10,180.836271,84.64250139
11,181.967645,96.95128455
12,164.506476,75.80767932
13,175.978998,85.93127231
14,175.8790799,84.56504714
15,171.819874,78.10261398
16,183.9425242,88.91696224
17,162.4947873,78.41855902
18,176.8857521,84.36083528
19,172.5574523,82.74726813
20,172.5042275,78.9775925
21,176.3761773,89.68939099
22,168.0187952,67.66393615
23,191.023173,103.7645136
24,172.4487187,73.48492123
25,173.0858433,87.24568902
26,175.4876638,83.65831963
27,184.9141425,93.8156121
28,171.2499554,79.47563349
29,173.980895,70.00858628
30,174.2900008,85.051604
31,188.0458714,96.57437493
32,181.6816687,88.46506527
33,175.7176092,93.06964917
34,176.726094,92.60721401
35,178.8183594,87.49949121
36,175.4534748,89.57908694
37,170.6715491,83.37518697
38,167.1505818,74.32187695
39,163.3326372,73.98449171
40,172.654814,78.0793299
41,183.3611419,88.0174433
42,165.7866776,76.48366074
43,167.8690505,73.11605148
44,171.4762166,74.68858448
45,178.0661571,85.69364533
46,173.3596646,84.84916998
47,183.3186812,94.83287107
48,175.7168384,87.09616643
49,185.0907148,95.86326582
50,164.5477608,75.12010874
51,178.2662167,91.20461347
52,173.9682836,78.66372102
53,171.0203104,82.28507206
54,170.156998,76.99166618
55,168.9088567,74.07589557
56,173.6167639,86.05103355
57,179.767126,87.14629376
58,180.8884461,89.90123773
59,177.833948,95.03954411
60,181.3640828,90.15585187
61,176.6620929,89.84728729
62,187.4990778,88.58225936
63,170.1720822,74.81696269
64,181.4029034,81.58482719
65,165.8094225,70.42034882
66,173.4164463,83.69651972
67,184.8240397,100.0977942
68,172.9724247,83.14915395
69,174.9976334,89.10874364
70,175.9953553,83.73109116
71,179.1289903,94.13523529
72,176.9458621,80.37692367
73,171.6919828,73.98448494
74,184.1706258,98.07485943
75,180.9825834,92.83009475
76,182.3953347,91.13596374
77,183.5027203,100.1992756
78,168.9420743,89.10808505
79,167.7137464,76.49412231
80,171.645971,82.29642716
81,173.3462842,90.10998495
82,187.5183626,107.9171281
83,177.2982595,78.49012935
84,167.5373276,72.88493912
85,180.5407046,85.54877527
86,169.1543392,94.50394005
87,175.1368991,87.74062225
88,173.340933,78.97476423
89,183.6847358,89.52481313
90,182.4111679,91.45352147
91,165.7021058,82.10558297
92,179.4269464,82.60930266
93,164.419091,80.53492549
94,170.44302,74.83115
95,165.3984116,75.16795635
96,182.1211344,87.58596783
97,169.7555106,81.95676566
98,168.8370392,78.36877853
99,176.3052766,80.49925176
100,177.9325308,91.0897727
101,169.5287558,76.08542018
102,168.336796,70.03262023
103,173.5542579,80.73244902
104,177.992756,83.433194
105,174.5817899,81.28585551
106,171.5923702,71.92517053
107,168.2842266,75.52466992
108,175.7227948,78.0104203
109,171.7271266,79.09019821
110,176.0035546,85.15978964
111,173.2043374,91.39332783
112,181.8819979,92.95325329
113,175.7600181,81.05033439
114,170.8453809,74.39563231
115,187.1603912,101.2734878
116,176.6245261,92.06026406
117,173.511362,85.90659882
